id,文章,問題,選項1,選項2,選項3,選項4,答案
11,　沙僧說：“再到哪裡去借救兵呢?”悟空說：“若要捉此妖，只有去請觀音菩薩。但我渾　　身酸疼，駕不起筋斗雲，怎麼能去?”八戒說：“我去吧。”悟空千叮萬囑，八戒駕雲離去　　。那怪回到洞中，不知悟空生死，怕他再去請救兵，就出了洞，跳上雲頭，四下一望，見呆　　子向南奔去，心中就明白了。那怪是熟門熟路，就抄小路趕到頭裡，變成菩薩模樣，坐在山　　崖上。八戒來到，不辨真假，跪倒就拜，把悟空交代的話學了一遍。假菩薩說：“我和那大　　王有些交情，你跟我去，讓他把唐僧還你。”呆子怎知好歹?就跟著假菩薩來到火雲洞，眾　　小妖一擁而上，把八戒捆了，裝入皮袋裡，吊在梁上。那怪現了本相，說：“豬八戒，你有　　多大本事，敢去求菩薩捉我?如今拿下你，吊上三五天，賞給小妖下酒。”八戒破口大駡：　　“潑怪物，你騙我來吃，管教你一個個遭腫頭天瘟!”,請問根據此文章，悟空為什麼沒辦法去找觀音菩薩？,他懶惰,他生氣,他渾身痠痛,他想睡覺,
12,　沙僧說：“再到哪裡去借救兵呢?”悟空說：“若要捉此妖，只有去請觀音菩薩。但我渾　　身酸疼，駕不起筋斗雲，怎麼能去?”八戒說：“我去吧。”悟空千叮萬囑，八戒駕雲離去　　。那怪回到洞中，不知悟空生死，怕他再去請救兵，就出了洞，跳上雲頭，四下一望，見呆　　子向南奔去，心中就明白了。那怪是熟門熟路，就抄小路趕到頭裡，變成菩薩模樣，坐在山　　崖上。八戒來到，不辨真假，跪倒就拜，把悟空交代的話學了一遍。假菩薩說：“我和那大　　王有些交情，你跟我去，讓他把唐僧還你。”呆子怎知好歹?就跟著假菩薩來到火雲洞，眾　　小妖一擁而上，把八戒捆了，裝入皮袋裡，吊在梁上。那怪現了本相，說：“豬八戒，你有　　多大本事，敢去求菩薩捉我?如今拿下你，吊上三五天，賞給小妖下酒。”八戒破口大駡：　　“潑怪物，你騙我來吃，管教你一個個遭腫頭天瘟!”,請問根據此文章，八戒看到假菩薩什麼反應？,生氣,難過,沒反應,跪下,
13,　沙僧說：“再到哪裡去借救兵呢?”悟空說：“若要捉此妖，只有去請觀音菩薩。但我渾　　身酸疼，駕不起筋斗雲，怎麼能去?”八戒說：“我去吧。”悟空千叮萬囑，八戒駕雲離去　　。那怪回到洞中，不知悟空生死，怕他再去請救兵，就出了洞，跳上雲頭，四下一望，見呆　　子向南奔去，心中就明白了。那怪是熟門熟路，就抄小路趕到頭裡，變成菩薩模樣，坐在山　　崖上。八戒來到，不辨真假，跪倒就拜，把悟空交代的話學了一遍。假菩薩說：“我和那大　　王有些交情，你跟我去，讓他把唐僧還你。”呆子怎知好歹?就跟著假菩薩來到火雲洞，眾　　小妖一擁而上，把八戒捆了，裝入皮袋裡，吊在梁上。那怪現了本相，說：“豬八戒，你有　　多大本事，敢去求菩薩捉我?如今拿下你，吊上三五天，賞給小妖下酒。”八戒破口大駡：　　“潑怪物，你騙我來吃，管教你一個個遭腫頭天瘟!”,請問根據此文章，那妖說要把八戒吊幾天？,兩天,三五天,一天,半天,
14,　沙僧說：“再到哪裡去借救兵呢?”悟空說：“若要捉此妖，只有去請觀音菩薩。但我渾　　身酸疼，駕不起筋斗雲，怎麼能去?”八戒說：“我去吧。”悟空千叮萬囑，八戒駕雲離去　　。那怪回到洞中，不知悟空生死，怕他再去請救兵，就出了洞，跳上雲頭，四下一望，見呆　　子向南奔去，心中就明白了。那怪是熟門熟路，就抄小路趕到頭裡，變成菩薩模樣，坐在山　　崖上。八戒來到，不辨真假，跪倒就拜，把悟空交代的話學了一遍。假菩薩說：“我和那大　　王有些交情，你跟我去，讓他把唐僧還你。”呆子怎知好歹?就跟著假菩薩來到火雲洞，眾　　小妖一擁而上，把八戒捆了，裝入皮袋裡，吊在梁上。那怪現了本相，說：“豬八戒，你有　　多大本事，敢去求菩薩捉我?如今拿下你，吊上三五天，賞給小妖下酒。”八戒破口大駡：　　“潑怪物，你騙我來吃，管教你一個個遭腫頭天瘟!”,請問根據此文章，八戒被裝進哪裡？,杯子裡,肚子裡,嘴巴裡,皮袋裡,
15,　沙僧說：“再到哪裡去借救兵呢?”悟空說：“若要捉此妖，只有去請觀音菩薩。但我渾　　身酸疼，駕不起筋斗雲，怎麼能去?”八戒說：“我去吧。”悟空千叮萬囑，八戒駕雲離去　　。那怪回到洞中，不知悟空生死，怕他再去請救兵，就出了洞，跳上雲頭，四下一望，見呆　　子向南奔去，心中就明白了。那怪是熟門熟路，就抄小路趕到頭裡，變成菩薩模樣，坐在山　　崖上。八戒來到，不辨真假，跪倒就拜，把悟空交代的話學了一遍。假菩薩說：“我和那大　　王有些交情，你跟我去，讓他把唐僧還你。”呆子怎知好歹?就跟著假菩薩來到火雲洞，眾　　小妖一擁而上，把八戒捆了，裝入皮袋裡，吊在梁上。那怪現了本相，說：“豬八戒，你有　　多大本事，敢去求菩薩捉我?如今拿下你，吊上三五天，賞給小妖下酒。”八戒破口大駡：　　“潑怪物，你騙我來吃，管教你一個個遭腫頭天瘟!”,請問根據此文章，那怪為什麼出洞？,洞裡太暗,洞裡太熱,怕悟空他們去找救兵,洞裡太冷,
16,　沙僧說：“再到哪裡去借救兵呢?”悟空說：“若要捉此妖，只有去請觀音菩薩。但我渾　　身酸疼，駕不起筋斗雲，怎麼能去?”八戒說：“我去吧。”悟空千叮萬囑，八戒駕雲離去　　。那怪回到洞中，不知悟空生死，怕他再去請救兵，就出了洞，跳上雲頭，四下一望，見呆　　子向南奔去，心中就明白了。那怪是熟門熟路，就抄小路趕到頭裡，變成菩薩模樣，坐在山　　崖上。八戒來到，不辨真假，跪倒就拜，把悟空交代的話學了一遍。假菩薩說：“我和那大　　王有些交情，你跟我去，讓他把唐僧還你。”呆子怎知好歹?就跟著假菩薩來到火雲洞，眾　　小妖一擁而上，把八戒捆了，裝入皮袋裡，吊在梁上。那怪現了本相，說：“豬八戒，你有　　多大本事，敢去求菩薩捉我?如今拿下你，吊上三五天，賞給小妖下酒。”八戒破口大駡：　　“潑怪物，你騙我來吃，管教你一個個遭腫頭天瘟!”,請問根據此文章，那怪變成菩薩模樣坐在哪裡？,飛機上,山崖上,溪邊,馬上,
17,　沙僧說：“再到哪裡去借救兵呢?”悟空說：“若要捉此妖，只有去請觀音菩薩。但我渾　　身酸疼，駕不起筋斗雲，怎麼能去?”八戒說：“我去吧。”悟空千叮萬囑，八戒駕雲離去　　。那怪回到洞中，不知悟空生死，怕他再去請救兵，就出了洞，跳上雲頭，四下一望，見呆　　子向南奔去，心中就明白了。那怪是熟門熟路，就抄小路趕到頭裡，變成菩薩模樣，坐在山　　崖上。八戒來到，不辨真假，跪倒就拜，把悟空交代的話學了一遍。假菩薩說：“我和那大　　王有些交情，你跟我去，讓他把唐僧還你。”呆子怎知好歹?就跟著假菩薩來到火雲洞，眾　　小妖一擁而上，把八戒捆了，裝入皮袋裡，吊在梁上。那怪現了本相，說：“豬八戒，你有　　多大本事，敢去求菩薩捉我?如今拿下你，吊上三五天，賞給小妖下酒。”八戒破口大駡：　　“潑怪物，你騙我來吃，管教你一個個遭腫頭天瘟!”,請問根據此文章，八戒被裝進皮袋裡吊在哪裡？,桌上,椅子上,樑上,車上,
18,　沙僧說：“再到哪裡去借救兵呢?”悟空說：“若要捉此妖，只有去請觀音菩薩。但我渾　　身酸疼，駕不起筋斗雲，怎麼能去?”八戒說：“我去吧。”悟空千叮萬囑，八戒駕雲離去　　。那怪回到洞中，不知悟空生死，怕他再去請救兵，就出了洞，跳上雲頭，四下一望，見呆　　子向南奔去，心中就明白了。那怪是熟門熟路，就抄小路趕到頭裡，變成菩薩模樣，坐在山　　崖上。八戒來到，不辨真假，跪倒就拜，把悟空交代的話學了一遍。假菩薩說：“我和那大　　王有些交情，你跟我去，讓他把唐僧還你。”呆子怎知好歹?就跟著假菩薩來到火雲洞，眾　　小妖一擁而上，把八戒捆了，裝入皮袋裡，吊在梁上。那怪現了本相，說：“豬八戒，你有　　多大本事，敢去求菩薩捉我?如今拿下你，吊上三五天，賞給小妖下酒。”八戒破口大駡：　　“潑怪物，你騙我來吃，管教你一個個遭腫頭天瘟!”,請問根據此文章，誰出了山洞跳上雲頭？,菩薩,那怪,龍王,沙僧,
19,　沙僧說：“再到哪裡去借救兵呢?”悟空說：“若要捉此妖，只有去請觀音菩薩。但我渾　　身酸疼，駕不起筋斗雲，怎麼能去?”八戒說：“我去吧。”悟空千叮萬囑，八戒駕雲離去　　。那怪回到洞中，不知悟空生死，怕他再去請救兵，就出了洞，跳上雲頭，四下一望，見呆　　子向南奔去，心中就明白了。那怪是熟門熟路，就抄小路趕到頭裡，變成菩薩模樣，坐在山　　崖上。八戒來到，不辨真假，跪倒就拜，把悟空交代的話學了一遍。假菩薩說：“我和那大　　王有些交情，你跟我去，讓他把唐僧還你。”呆子怎知好歹?就跟著假菩薩來到火雲洞，眾　　小妖一擁而上，把八戒捆了，裝入皮袋裡，吊在梁上。那怪現了本相，說：“豬八戒，你有　　多大本事，敢去求菩薩捉我?如今拿下你，吊上三五天，賞給小妖下酒。”八戒破口大駡：　　“潑怪物，你騙我來吃，管教你一個個遭腫頭天瘟!”,請問根據此文章，誰抄小路走到前面？,菩薩,那怪,龍王,沙僧,
20,　沙僧說：“再到哪裡去借救兵呢?”悟空說：“若要捉此妖，只有去請觀音菩薩。但我渾　　身酸疼，駕不起筋斗雲，怎麼能去?”八戒說：“我去吧。”悟空千叮萬囑，八戒駕雲離去　　。那怪回到洞中，不知悟空生死，怕他再去請救兵，就出了洞，跳上雲頭，四下一望，見呆　　子向南奔去，心中就明白了。那怪是熟門熟路，就抄小路趕到頭裡，變成菩薩模樣，坐在山　　崖上。八戒來到，不辨真假，跪倒就拜，把悟空交代的話學了一遍。假菩薩說：“我和那大　　王有些交情，你跟我去，讓他把唐僧還你。”呆子怎知好歹?就跟著假菩薩來到火雲洞，眾　　小妖一擁而上，把八戒捆了，裝入皮袋裡，吊在梁上。那怪現了本相，說：“豬八戒，你有　　多大本事，敢去求菩薩捉我?如今拿下你，吊上三五天，賞給小妖下酒。”八戒破口大駡：　　“潑怪物，你騙我來吃，管教你一個個遭腫頭天瘟!”,請問根據此文章，誰被小妖捆住？,菩薩,八戒,龍王,沙僧,
21,　沙僧說：“再到哪裡去借救兵呢?”悟空說：“若要捉此妖，只有去請觀音菩薩。但我渾　　身酸疼，駕不起筋斗雲，怎麼能去?”八戒說：“我去吧。”悟空千叮萬囑，八戒駕雲離去　　。那怪回到洞中，不知悟空生死，怕他再去請救兵，就出了洞，跳上雲頭，四下一望，見呆　　子向南奔去，心中就明白了。那怪是熟門熟路，就抄小路趕到頭裡，變成菩薩模樣，坐在山　　崖上。八戒來到，不辨真假，跪倒就拜，把悟空交代的話學了一遍。假菩薩說：“我和那大　　王有些交情，你跟我去，讓他把唐僧還你。”呆子怎知好歹?就跟著假菩薩來到火雲洞，眾　　小妖一擁而上，把八戒捆了，裝入皮袋裡，吊在梁上。那怪現了本相，說：“豬八戒，你有　　多大本事，敢去求菩薩捉我?如今拿下你，吊上三五天，賞給小妖下酒。”八戒破口大駡：　　“潑怪物，你騙我來吃，管教你一個個遭腫頭天瘟!”,請問根據此文章，假菩薩帶著八戒去哪裡？,雲林,嘉義,火雲洞,高雄,
22,　沙僧說：“再到哪裡去借救兵呢?”悟空說：“若要捉此妖，只有去請觀音菩薩。但我渾　　身酸疼，駕不起筋斗雲，怎麼能去?”八戒說：“我去吧。”悟空千叮萬囑，八戒駕雲離去　　。那怪回到洞中，不知悟空生死，怕他再去請救兵，就出了洞，跳上雲頭，四下一望，見呆　　子向南奔去，心中就明白了。那怪是熟門熟路，就抄小路趕到頭裡，變成菩薩模樣，坐在山　　崖上。八戒來到，不辨真假，跪倒就拜，把悟空交代的話學了一遍。假菩薩說：“我和那大　　王有些交情，你跟我去，讓他把唐僧還你。”呆子怎知好歹?就跟著假菩薩來到火雲洞，眾　　小妖一擁而上，把八戒捆了，裝入皮袋裡，吊在梁上。那怪現了本相，說：“豬八戒，你有　　多大本事，敢去求菩薩捉我?如今拿下你，吊上三五天，賞給小妖下酒。”八戒破口大駡：　　“潑怪物，你騙我來吃，管教你一個個遭腫頭天瘟!”,請問根據此文章，「見“呆子”向南奔去」，“呆子”是指誰？,龍王,沙僧,菩薩,八戒,
23,　沙僧說：“再到哪裡去借救兵呢?”悟空說：“若要捉此妖，只有去請觀音菩薩。但我渾　　身酸疼，駕不起筋斗雲，怎麼能去?”八戒說：“我去吧。”悟空千叮萬囑，八戒駕雲離去　　。那怪回到洞中，不知悟空生死，怕他再去請救兵，就出了洞，跳上雲頭，四下一望，見呆　　子向南奔去，心中就明白了。那怪是熟門熟路，就抄小路趕到頭裡，變成菩薩模樣，坐在山　　崖上。八戒來到，不辨真假，跪倒就拜，把悟空交代的話學了一遍。假菩薩說：“我和那大　　王有些交情，你跟我去，讓他把唐僧還你。”呆子怎知好歹?就跟著假菩薩來到火雲洞，眾　　小妖一擁而上，把八戒捆了，裝入皮袋裡，吊在梁上。那怪現了本相，說：“豬八戒，你有　　多大本事，敢去求菩薩捉我?如今拿下你，吊上三五天，賞給小妖下酒。”八戒破口大駡：　　“潑怪物，你騙我來吃，管教你一個個遭腫頭天瘟!”,請問根據此文章，那妖說要把八戒給誰吃？,龍王,沙僧,小妖,菩薩,
24,　沙僧說：“再到哪裡去借救兵呢?”悟空說：“若要捉此妖，只有去請觀音菩薩。但我渾　　身酸疼，駕不起筋斗雲，怎麼能去?”八戒說：“我去吧。”悟空千叮萬囑，八戒駕雲離去　　。那怪回到洞中，不知悟空生死，怕他再去請救兵，就出了洞，跳上雲頭，四下一望，見呆　　子向南奔去，心中就明白了。那怪是熟門熟路，就抄小路趕到頭裡，變成菩薩模樣，坐在山　　崖上。八戒來到，不辨真假，跪倒就拜，把悟空交代的話學了一遍。假菩薩說：“我和那大　　王有些交情，你跟我去，讓他把唐僧還你。”呆子怎知好歹?就跟著假菩薩來到火雲洞，眾　　小妖一擁而上，把八戒捆了，裝入皮袋裡，吊在梁上。那怪現了本相，說：“豬八戒，你有　　多大本事，敢去求菩薩捉我?如今拿下你，吊上三五天，賞給小妖下酒。”八戒破口大駡：　　“潑怪物，你騙我來吃，管教你一個個遭腫頭天瘟!”,請問根據此文章，那怪趕到前面變成什麼的模樣？,龍王,沙僧,唐僧,菩薩,
25,　沙僧說：“再到哪裡去借救兵呢?”悟空說：“若要捉此妖，只有去請觀音菩薩。但我渾　　身酸疼，駕不起筋斗雲，怎麼能去?”八戒說：“我去吧。”悟空千叮萬囑，八戒駕雲離去　　。那怪回到洞中，不知悟空生死，怕他再去請救兵，就出了洞，跳上雲頭，四下一望，見呆　　子向南奔去，心中就明白了。那怪是熟門熟路，就抄小路趕到頭裡，變成菩薩模樣，坐在山　　崖上。八戒來到，不辨真假，跪倒就拜，把悟空交代的話學了一遍。假菩薩說：“我和那大　　王有些交情，你跟我去，讓他把唐僧還你。”呆子怎知好歹?就跟著假菩薩來到火雲洞，眾　　小妖一擁而上，把八戒捆了，裝入皮袋裡，吊在梁上。那怪現了本相，說：“豬八戒，你有　　多大本事，敢去求菩薩捉我?如今拿下你，吊上三五天，賞給小妖下酒。”八戒破口大駡：　　“潑怪物，你騙我來吃，管教你一個個遭腫頭天瘟!”,請問根據此文章，誰分不出菩薩真偽？,龍王,沙僧,八戒,悟空,
26,　沙僧說：“再到哪裡去借救兵呢?”悟空說：“若要捉此妖，只有去請觀音菩薩。但我渾　　身酸疼，駕不起筋斗雲，怎麼能去?”八戒說：“我去吧。”悟空千叮萬囑，八戒駕雲離去　　。那怪回到洞中，不知悟空生死，怕他再去請救兵，就出了洞，跳上雲頭，四下一望，見呆　　子向南奔去，心中就明白了。那怪是熟門熟路，就抄小路趕到頭裡，變成菩薩模樣，坐在山　　崖上。八戒來到，不辨真假，跪倒就拜，把悟空交代的話學了一遍。假菩薩說：“我和那大　　王有些交情，你跟我去，讓他把唐僧還你。”呆子怎知好歹?就跟著假菩薩來到火雲洞，眾　　小妖一擁而上，把八戒捆了，裝入皮袋裡，吊在梁上。那怪現了本相，說：“豬八戒，你有　　多大本事，敢去求菩薩捉我?如今拿下你，吊上三五天，賞給小妖下酒。”八戒破口大駡：　　“潑怪物，你騙我來吃，管教你一個個遭腫頭天瘟!”,請問根據此文章，誰駕著雲去找觀音菩薩？,龍王,沙僧,牛魔王,八戒,
